,Numero,TypeVoie,NbPieces,prixm2,periode_construction,Arrondissement,lon,lat,Quartier,score_jardin,score_monument,score_metro
0,17.0,RUE,3.0,10.678571428571429,4.0,1,2.325456,48.868446,4,1.3354187667992867,0.8483268235294118,0.19740746112922194
1,33.0,RUE,4.0,13.24468085106383,4.0,5,2.342362,48.843993,19,1.453848210107857,0.5126415,0.0
2,36.0,RUE,1.0,10.852173913043478,4.0,10,2.361984,48.873214000000004,39,6.500860005606521,0.30000000000000004,0.35107552644166345
3,36.0,RUE,3.0,8.846153846153847,4.0,10,2.361984,48.873214000000004,39,6.500860005606521,0.30000000000000004,0.35107552644166345
4,13.0,RUE,4.0,13.75,4.0,9,2.3459830000000004,48.882664,36,4.9320841937146005,0.4544117647058824,0.146813149760114
5,13.0,RUE,3.0,15.100865384615386,4.0,3,2.363265,48.860077000000004,11,5.077558754357654,0.40222858823529417,0.10172338349767451
6,13.0,RUE,1.0,10.293939393939393,4.0,3,2.363265,48.860077000000004,11,5.077558754357654,0.40222858823529417,0.10172338349767451
7,13.0,RUE,1.0,13.416666666666666,4.0,3,2.363265,48.860077000000004,11,5.077558754357654,0.40222858823529417,0.10172338349767451
8,61.0,RUE,1.0,9.432,4.0,11,2.3749119999999997,48.8671,41,2.4108691652227314,0.25,0.1679351673265564
9,6.0,RUE,4.0,13.125,4.0,13,2.360504,48.839025,49,3.399124110056794,0.37994625000000004,0.16300526067211257
10,20.0,RUE,1.0,10.384615384615385,4.0,18,2.328114,48.890751,69,2.8892167456005917,0.15000000000000002,0.06264923582225226
11,192.0,RUE,3.0,7.642857142857143,4.0,19,2.37615,48.891363,73,3.3935594473939337,0.1325469411764706,0.1062147645857149
12,57.0,RUE,2.0,10.428125,4.0,2,2.3478939999999997,48.865448,8,2.7154371790032714,0.7500000000000001,0.26183586307243134
13,4.0,RUE,1.0,8.846153846153847,3.0,3,2.354921,48.868528999999995,9,5.20409694098362,0.5522285882352941,0.2968674599943287
14,4.0,RUE,1.0,9.714285714285714,3.0,3,2.354921,48.868528999999995,9,5.20409694098362,0.5522285882352941,0.2968674599943287
15,6.0,RUE,1.0,15.818181818181818,3.0,5,2.352729,48.850189,17,4.7270045854171485,0.65,0.06770270974729775
16,82.0,BD,3.0,11.946875,3.0,8,2.314034,48.879896,32,4.473393680842353,0.55,0.11458572075126493
17,82.0,BD,1.0,10.666666666666666,3.0,8,2.314034,48.879896,32,4.473393680842353,0.55,0.11458572075126493
18,82.0,BD,2.0,12.950227272727272,3.0,8,2.314034,48.879896,32,4.473393680842353,0.55,0.11458572075126493
19,21.0,AV,4.0,12.456140350877194,3.0,7,2.293807,48.855875,28,9.347496737883018,0.5912838676470589,0.10799315638254069
20,29.0,RUE,2.0,7.939024390243903,3.0,14,2.322433,48.82512,55,2.727809932222861,0.1,0.09791250426709303
21,25.0,RUE,2.0,9.079365079365079,3.0,14,2.322901,48.825016,55,3.194139733619548,0.1,0.09791250426709303
22,25.0,RUE,2.0,8.14516129032258,3.0,14,2.322901,48.825016,55,3.194139733619548,0.1,0.09791250426709303
23,25.0,RUE,3.0,10.234177215189874,3.0,14,2.322901,48.825016,55,3.194139733619548,0.1,0.09791250426709303
24,59.0,RUE,1.0,12.194330303030304,3.0,15,2.30438,48.842139,58,14.179646412011463,0.45,0.07029075128094917
25,10.0,AV,2.0,18.26923076923077,3.0,16,2.287313,48.857621,62,4.316638561727332,0.5912838676470589,0.1583707195665099
26,10.0,AV,4.0,13.114754098360656,3.0,16,2.287313,48.857621,62,4.316638561727332,0.5912838676470589,0.1583707195665099
27,13.0,RUE,2.0,8.928571428571429,3.0,18,2.352065,48.887366,71,6.6628587720851264,0.3044117647058824,0.15331919709470457
28,4.0,CITE,2.0,11.262222222222222,3.0,3,2.361982,48.86571,10,5.4630051696204465,0.5022285882352941,0.26428842916891515
29,20.0,RUE,6.0,17.428571428571427,3.0,6,2.339864,48.850052000000005,22,2.042807616491207,0.8,0.09833187508806471
30,15.0,BD,3.0,9.507936507936508,3.0,16,2.265767,48.840167,61,2.2125450268353233,0.05,0.08094728154937723
31,15.0,BD,2.0,8.214285714285714,3.0,16,2.265767,48.840167,61,2.2125450268353233,0.05,0.08094728154937723
32,79.0,RUE,3.0,10.290000000000001,2.0,8,2.317605,48.880039000000004,32,2.371229000939928,0.55,0.7340267392894059
33,13.0,RUE,2.0,14.195121951219512,4.0,3,2.365988,48.861078000000006,11,3.5043461623810566,0.35000000000000003,0.26621068100360384
34,13.0,RUE,3.0,13.4,4.0,3,2.365988,48.861078000000006,11,3.5043461623810566,0.35000000000000003,0.26621068100360384
35,13.0,RUE,4.0,10.886333333333333,4.0,3,2.365988,48.861078000000006,11,3.5043461623810566,0.35000000000000003,0.26621068100360384
36,107.0,RUE,2.0,8.80952380952381,4.0,5,2.349743,48.840801,18,5.5958261088259,0.4126415,0.08094163445823728
37,8.0,RUE,3.0,10.539423076923075,4.0,11,2.374635,48.865629,41,1.5703211899673946,0.30000000000000004,0.08123095011096104
38,8.0,RUE,1.0,10.666666666666666,4.0,11,2.374635,48.865629,41,1.5703211899673946,0.30000000000000004,0.08123095011096104
39,13.0,RUE,2.0,9.823,4.0,17,2.296752,48.880156,65,1.6060560466834854,0.4749726323529412,0.1468242288523574
40,39.0,RUE,1.0,7.142857142857143,4.0,8,2.305705,48.874096,30,4.786445397875583,0.5249726323529412,0.1493192107040378
41,39.0,RUE,1.0,13.571428571428571,4.0,8,2.305705,48.874096,30,4.786445397875583,0.5249726323529412,0.1493192107040378
42,39.0,RUE,1.0,8.928571428571429,4.0,8,2.305705,48.874096,30,4.786445397875583,0.5249726323529412,0.1493192107040378
43,39.0,RUE,1.0,9.285714285714286,4.0,8,2.305705,48.874096,30,4.786445397875583,0.5249726323529412,0.1493192107040378
44,39.0,RUE,1.0,11.282142857142857,4.0,8,2.305705,48.874096,30,4.786445397875583,0.5249726323529412,0.1493192107040378
45,39.0,RUE,1.0,9.285714285714286,4.0,8,2.305705,48.874096,30,4.786445397875583,0.5249726323529412,0.1493192107040378
46,49.0,RUE,3.0,11.35135135135135,4.0,18,2.34776,48.895592,70,2.970163458909404,0.1,0.14055546493529875
47,49.0,RUE,3.0,10.853658536585366,4.0,18,2.34776,48.895592,70,2.970163458909404,0.1,0.14055546493529875
48,49.0,RUE,3.0,11.025641025641026,4.0,18,2.34776,48.895592,70,2.970163458909404,0.1,0.14055546493529875
49,67.0,BD,8.0,10.148076923076923,3.0,8,2.301909,48.878708,30,2.232449296871376,0.5249726323529412,0.15682759325160095
50,67.0,BD,5.0,14.736842105263158,3.0,8,2.301909,48.878708,30,2.232449296871376,0.5249726323529412,0.15682759325160095
51,59.0,RUE,3.0,16.153846153846153,3.0,7,2.3170439999999997,48.85593,26,2.9059150941580465,0.7983268235294118,0.04090610080206293
52,23.0,RUE,2.0,14.467242424242423,3.0,9,2.341572,48.876483,35,3.6100102507663987,0.45,0.11838626001718297
53,97.0,BD,3.0,9.557500000000001,3.0,16,2.258372,48.844746,61,2.751622998354343,0.0,0.03514984169177778
54,24.0,RUE,2.0,29.327272727272724,2.0,1,2.337038,48.865144,3,2.436386856742585,0.8,0.16427180075373027
55,24.0,RUE,6.0,22.55639097744361,2.0,1,2.337038,48.865144,3,2.436386856742585,0.8,0.16427180075373027
56,24.0,RUE,6.0,26.31580827067669,2.0,1,2.337038,48.865144,3,2.436386856742585,0.8,0.16427180075373027
57,36.0,AV,1.0,12.4,2.0,19,2.3732290000000003,48.883410999999995,73,1.7318753572399324,0.15000000000000002,0.1306198617190066
58,36.0,AV,1.0,7.0,2.0,19,2.3732290000000003,48.883410999999995,73,1.7318753572399324,0.15000000000000002,0.1306198617190066
59,56.0,RUE,1.0,11.0,2.0,1,2.337399,48.866547,3,5.245208863095492,0.8,0.16427180075373027
60,56.0,RUE,2.0,17.136363636363637,2.0,1,2.337399,48.866547,3,5.245208863095492,0.8,0.16427180075373027
61,56.0,RUE,1.0,16.391304347826086,2.0,1,2.337399,48.866547,3,5.245208863095492,0.8,0.16427180075373027
62,41.0,RUE,1.0,11.043478260869565,2.0,3,2.353682,48.864057,12,2.9188784727733323,0.5522285882352941,0.2513686081253898
63,8.0,RUE,2.0,13.375,2.0,10,2.347993,48.871307,38,2.289910502197744,0.5,0.14899818686920693
64,8.0,RUE,3.0,12.916666666666666,2.0,10,2.347993,48.871307,38,2.289910502197744,0.5,0.14899818686920693
65,2.0,RUE,3.0,5.762711864406779,2.0,18,2.340164,48.890146,69,3.91103318510532,0.20441176470588235,0.07368248651277927
66,170.0,RUE,1.0,10.714285714285714,2.0,3,2.361764,48.866457000000004,10,3.8619793640845486,0.5022285882352941,0.32452239159628365
67,170.0,RUE,2.0,12.540983606557377,2.0,3,2.361764,48.866457000000004,10,3.8619793640845486,0.5022285882352941,0.32452239159628365
68,170.0,RUE,3.0,10.666666666666666,2.0,3,2.361764,48.866457000000004,10,3.8619793640845486,0.5022285882352941,0.32452239159628365
69,170.0,RUE,4.0,11.516947368421052,2.0,3,2.361764,48.866457000000004,10,3.8619793640845486,0.5022285882352941,0.32452239159628365
70,170.0,RUE,3.0,11.584285714285715,2.0,3,2.361764,48.866457000000004,10,3.8619793640845486,0.5022285882352941,0.32452239159628365
