,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux,periode_construction,Arrondissement,Quartier,score_jardin,score_monument,score_metro
9905,79.0,QUAI,5.0,40,10.215517,2.276439,48.844743,0.018867924528301886,0.0,6.0,15,60,16.401738850566424,0.2,0.058063438029647
9906,79.0,QUAI,1.0,40,11.833333,2.276439,48.844743,0.018867924528301886,0.0,6.0,15,60,16.401738850566424,0.2,0.058063438029647
9907,79.0,QUAI,1.0,40,13.1,2.276439,48.844743,0.018867924528301886,0.0,6.0,15,60,16.401738850566424,0.2,0.058063438029647
9908,283.0,RUE,1.0,12,9.375,2.288343,48.838089,0.08490566037735849,0.06666666666666667,10.0,15,57,4.544371569296656,0.25,0.09110423978831698
9909,283.0,RUE,1.0,12,9.0625,2.288343,48.838089,0.08490566037735849,0.06666666666666667,10.0,15,57,4.544371569296656,0.25,0.09110423978831698
9910,283.0,RUE,1.0,12,5.46875,2.288343,48.838089,0.08490566037735849,0.06666666666666667,10.0,15,57,4.544371569296656,0.25,0.09110423978831698
9911,283.0,RUE,1.0,12,10.0,2.288343,48.838089,0.08490566037735849,0.06666666666666667,10.0,15,57,4.544371569296656,0.25,0.09110423978831698
9912,283.0,RUE,1.0,12,10.915468,2.288343,48.838089,0.08490566037735849,0.06666666666666667,10.0,15,57,4.544371569296656,0.25,0.09110423978831698
9913,3.0,PAS,2.0,13,10.8,2.292605,48.844369,0.2641509433962264,0.26666666666666666,9.0,15,59,11.943035389918165,0.35000000000000003,0.13569492286226026
9914,3.0,PAS,1.0,13,9.677419,2.292605,48.844369,0.2641509433962264,0.26666666666666666,9.0,15,59,11.943035389918165,0.35000000000000003,0.13569492286226026
9915,13.0,BD,2.0,43,6.175,2.282677,48.835083,0.0,0.0,3.0,15,57,4.795578041823561,0.1,0.09110423978831698
9916,33.0,RUE,3.0,8,11.016949,2.296612,48.843713,0.04716981132075472,0.03333333333333333,3.0,15,58,8.917691946991585,0.45,0.12449228290190248
9917,33.0,RUE,3.0,8,11.669642,2.296612,48.843713,0.04716981132075472,0.03333333333333333,3.0,15,58,8.917691946991585,0.45,0.12449228290190248
9918,33.0,RUE,3.0,8,11.894736,2.296612,48.843713,0.04716981132075472,0.03333333333333333,3.0,15,58,8.917691946991585,0.45,0.12449228290190248
9919,14.0,RUE,2.0,46,9.862068,2.309706,48.843488,0.16981132075471697,0.16666666666666666,3.0,15,58,1.7191509859465157,0.6129218382352942,0.07029075128094918
9920,14.0,RUE,4.0,46,4.688524,2.309706,48.843488,0.16981132075471697,0.16666666666666666,3.0,15,58,1.7191509859465157,0.6129218382352942,0.07029075128094918
9921,14.0,RUE,1.0,46,20.0,2.309706,48.843488,0.16981132075471697,0.16666666666666666,3.0,15,58,1.7191509859465157,0.6129218382352942,0.07029075128094918
9922,14.0,RUE,2.0,46,11.111111,2.309706,48.843488,0.16981132075471697,0.16666666666666666,3.0,15,58,1.7191509859465157,0.6129218382352942,0.07029075128094918
9923,14.0,RUE,1.0,46,21.428571,2.309706,48.843488,0.16981132075471697,0.16666666666666666,3.0,15,58,1.7191509859465157,0.6129218382352942,0.07029075128094918
9924,14.0,RUE,2.0,46,8.709677,2.309706,48.843488,0.16981132075471697,0.16666666666666666,3.0,15,58,1.7191509859465157,0.6129218382352942,0.07029075128094918
9925,283.0,RUE,5.0,9,11.841666,2.301283,48.839458,0.16037735849056603,0.1,2.0,15,57,28.275321472968564,0.30000000000000004,0.09600006835952432
9926,44.0,RUE,1.0,33,8.595238,2.288219,48.838856,0.08490566037735849,0.06666666666666667,4.0,15,60,3.3804557787702474,0.25,0.08252757542259229
9927,44.0,RUE,2.0,33,11.125,2.288219,48.838856,0.08490566037735849,0.06666666666666667,4.0,15,60,3.3804557787702474,0.25,0.08252757542259229
9928,44.0,RUE,1.0,33,9.130434,2.288219,48.838856,0.08490566037735849,0.06666666666666667,4.0,15,60,3.3804557787702474,0.25,0.08252757542259229
9929,39.0,QUAI,1.0,9,8.333333,2.285746,48.851894,0.04716981132075472,0.06666666666666667,5.0,15,59,13.172604682832668,0.4912838676470589,0.10799315638254067
9930,39.0,QUAI,3.0,9,9.589041,2.285746,48.851894,0.04716981132075472,0.06666666666666667,5.0,15,59,13.172604682832668,0.4912838676470589,0.10799315638254067
9931,39.0,QUAI,1.0,9,10.357142,2.285746,48.851894,0.04716981132075472,0.06666666666666667,5.0,15,59,13.172604682832668,0.4912838676470589,0.10799315638254067
9932,24.0,RUE,2.0,40,9.275,2.314129,48.838743,0.0660377358490566,0.06666666666666667,3.0,15,58,46.730112234767844,0.4629218382352942,0.4670619917251344
9933,24.0,RUE,1.0,40,9.25,2.314129,48.838743,0.0660377358490566,0.06666666666666667,3.0,15,58,46.730112234767844,0.4629218382352942,0.4670619917251344
9934,24.0,RUE,1.0,40,12.486055,2.314129,48.838743,0.0660377358490566,0.06666666666666667,3.0,15,58,46.730112234767844,0.4629218382352942,0.4670619917251344
9935,15.0,RUE,2.0,95,13.25,2.303493,48.846764,0.0660377358490566,0.0,7.0,15,58,4.405939902572571,0.5,0.13436459489727434
9936,15.0,RUE,3.0,95,13.040229,2.303493,48.846764,0.0660377358490566,0.0,7.0,15,58,4.405939902572571,0.5,0.13436459489727434
9937,353.0,RUE,3.0,104,8.787878,2.296083,48.836882,0.5849056603773585,0.5,4.0,15,57,2.326238984487985,0.25,0.10315946927824036
9938,64.0,RUE,2.0,20,10.151515,2.282015,48.841808,0.16037735849056603,0.13333333333333333,3.0,15,60,4.919803608197909,0.25,0.07198445626431547
9939,374.0,RUE,3.0,37,9.032258,2.28916,48.833519,0.03773584905660377,0.0,1.0,15,57,2.7625368989665318,0.1,0.11388029973539625
9940,374.0,RUE,2.0,37,8.288888,2.28916,48.833519,0.03773584905660377,0.0,1.0,15,57,2.7625368989665318,0.1,0.11388029973539625
9941,374.0,RUE,4.0,37,8.226136,2.28916,48.833519,0.03773584905660377,0.0,1.0,15,57,2.7625368989665318,0.1,0.11388029973539625
9942,374.0,RUE,3.0,37,9.453932,2.28916,48.833519,0.03773584905660377,0.0,1.0,15,57,2.7625368989665318,0.1,0.11388029973539625
9943,374.0,RUE,4.0,37,10.294117,2.28916,48.833519,0.03773584905660377,0.0,1.0,15,57,2.7625368989665318,0.1,0.11388029973539625
9944,7.0,RUE,3.0,43,8.141025,2.296198,48.832746,0.018867924528301886,0.0,3.0,15,57,4.687099853287468,0.15000000000000002,0.09110423978831698
9945,7.0,RUE,3.0,43,9.69863,2.296198,48.832746,0.018867924528301886,0.0,3.0,15,57,4.687099853287468,0.15000000000000002,0.09110423978831698
9946,36.0,RUE,2.0,13,8.611111,2.282664,48.842239,0.25471698113207547,0.26666666666666666,3.0,15,60,7.643135093373308,0.25,0.07198445626431547
9947,3.0,RUE,2.0,4,10.0,2.292256,48.851579,0.0660377358490566,0.0,4.0,15,59,4.734555377548068,0.5912838676470589,0.13709214382859564
9948,14.0,RUE,1.0,18,8.111111,2.302685,48.829341,0.07547169811320754,0.0,3.0,15,57,6.761694271716047,0.05,0.07289844031175229
9949,14.0,RUE,1.0,18,8.75,2.302685,48.829341,0.07547169811320754,0.0,3.0,15,57,6.761694271716047,0.05,0.07289844031175229
9950,14.0,RUE,1.0,18,9.333333,2.302685,48.829341,0.07547169811320754,0.0,3.0,15,57,6.761694271716047,0.05,0.07289844031175229
9951,17.0,RUE,3.0,4,8.947368,2.288744,48.850804,0.04716981132075472,0.0,0.0,15,59,3.788386402758576,0.5912838676470589,0.10799315638254067
