X,Y,OBJECTID,C_ORD,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,NIV6,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
653241.849914551,6862707.30651855,6170,7397,3,10,751031003,33,,RUE,BRETAGNE,1,Commerce détail de boissons,R,CA111,1,,,C
653202.025878906,6862738.32647705,6172,7399,3,10,751031003,39,,RUE,BRETAGNE,1,Crèmerie - Fromagerie,R,CA112,1,,,C
653224.924072266,6862706.27288818,6190,7417,3,10,751031003,42,,RUE,CHARLOT,1,Charcuterie - Traiteur - Epicerie fine,R,CA101,1,,,C
653296.722717285,6862664.54888916,6206,7434,3,10,751031003,17,,RUE,BRETAGNE,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
653290.649475098,6862668.92987061,6207,7435,3,10,751031003,19,,RUE,BRETAGNE,1,Charcuterie - Traiteur - Epicerie fine,R,CA101,1,,,C
653285.064697266,6862605.3416748,6211,7439,3,10,751031003,17,,RUE,DEBELLEYME,1,Pâtisserie,R,CA104,1,,,C
653336.821899414,6862633.58148193,6228,7457,3,10,751031003,3,,RUE,BRETAGNE,1,Alimentation générale  <120m²,R,CA301,1,,,C
653329.416503906,6862594.41827393,6239,7468,3,10,751031003,133,,RUE,VIEILLE DU TEMPLE,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
653375.744506836,6862599.68011475,6253,7482,3,10,751031003,103,,RUE,TURENNE,1,Produits alimentaires bio et circuits courts,A,CA115,1,,,C
653354.209899902,6862679.59771729,6261,7492,3,10,751031004,38,,RUE,DEBELLEYME,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
653331.379882812,6862676.79907227,6269,7500,3,10,751031004,29,,RUE,DEBELLEYME,1,Pâtisserie,R,CA104,1,,,C
653305.799682617,6862693.92211914,6279,7512,3,10,751031004,34,,RUE,SAINTONGE,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
