X,Y,OBJECTID,C_ORD,ARRO,QUA,IRIS,NUM,LET,TYP_VOIE,LIB_VOIE,NIV6,LIBACT,SIT,CODACT,SURF,CC_ID,CC_NIV,TYPE
651669.125488281,6863112.55908203,3468,4244,2,6,751020601,10,,RUE,PETITS PERES,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
651726.006896973,6863155.5916748,3532,4319,2,7,751020702,9,,RUE,MAIL,1,Supérette  classique,R,CA302,1,,,C
651723.493896484,6863339.76971436,3556,4363,2,7,751020702,32,,RUE,NOTRE DAME DES VICTOIRES,1,Pâtisserie,R,CA104,1,,,C
651927.859924316,6863647.88391113,3583,4404,2,7,751020704,19,,BD,POISSONNIERE,1,Supérette  classique,R,CA302,2,,,C
651837.912719727,6863398.76647949,3599,4517,2,7,751020703,142,,RUE,MONTMARTRE,1,Supérette  classique,R,CA302,2,,,C
652097.895080566,6863093.27911377,3629,4777,2,7,751020701,67,,RUE,MONTORGUEIL,1,Vente de fruits et légumes,R,CA108,1,,,C
652098.520690918,6863097.22991943,3630,4778,2,7,751020701,67,,RUE,MONTORGUEIL,1,Supermarché classique,R,CA202,2,,,C
651865.964904785,6863299.42211914,3664,4574,2,7,751020702,122,,RUE,MONTMARTRE,1,Pâtisserie,R,CA104,1,,,C
651901.50769043,6863196.21490479,3670,4583,2,7,751020702,33,,RUE,ABOUKIR,1,Pâtisserie,A,CA104,1,,,C
651889.524475098,6863114.13348389,3704,4619,2,7,751020701,69,,RUE,ARGOUT,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
651914.144287109,6863073.80029297,3735,4651,2,7,751020701,53,,RUE,MONTMARTRE,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
652077.464294434,6862964.95690918,3781,4700,2,7,751020701,45,,RUE,MONTORGUEIL,1,Pâtisserie,R,CA104,1,,,C
652083.997070312,6863003.20672607,3786,4707,2,7,751020701,51,,RUE,MONTORGUEIL,1,Pâtisserie,R,CA104,1,,,C
652084.63848877,6863007.12512207,3788,4709,2,7,751020701,53,,RUE,MONTORGUEIL,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
652037.503723145,6862954.15307617,3795,4716,2,7,751020701,58,,RUE,TIQUETONNE,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
652007.789916992,6863079.2689209,3805,4727,2,7,751020701,9,,RUE,BACHAUMONT,1,Pâtisserie,R,CA104,1,,,C
652090.61932373,6863048.87548828,3822,4749,2,7,751020701,61,,RUE,MONTORGUEIL,1,Commerce détail de boissons,R,CA111,1,,,C
652091.89251709,6863057.5848999,3824,4751,2,7,751020701,63,,RUE,MONTORGUEIL,1,Boulangerie - Boulangerie Pâtisserie,A,CA103,1,,,C
652105.195922852,6863157.45550537,3876,4823,2,7,751020702,5,,RUE,PETITS CARREAUX,1,Charcuterie - Traiteur - Epicerie fine,R,CA101,1,,,C
652107.478881836,6863179.74188232,3879,4826,2,7,751020702,13,,RUE,PETITS CARREAUX,1,Supermarché classique,R,CA202,2,,,C
652058.533691406,6863244.55310059,3887,4839,2,7,751020702,93,,RUE,REAUMUR,1,Produits alimentaires bio et circuits courts,R,CA115,1,,,C
651990.891113281,6863290.67169189,3935,4894,2,7,751020703,114,,RUE,REAUMUR,1,Produits alimentaires bio et circuits courts,A,CA115,1,,,C
652097.102478027,6863360.9453125,3952,4915,2,7,751020703,3,,RUE,MULHOUSE,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
652130.575500488,6863353.45568848,3967,4932,2,7,751020703,29,,RUE,CLERY,1,Supermarché classique,A,CA202,2,,,C
652145.628479004,6863374.24768066,3981,4950,2,7,751020703,3,,RUE,POISSONNIERE,1,Charcuterie - Traiteur - Epicerie fine,R,CA101,1,,,C
652090.604675293,6863605.30169678,4016,4993,2,7,751020703,7,,BD,POISSONNIERE,1,Supérette  classique,R,CA302,1,,,C
652082.877319336,6863607.37231445,4018,4995,2,7,751020703,7,,BD,POISSONNIERE,1,Traiteur asiatique,A,CA102,1,,,C
652168.207885742,6863516.41931152,4063,5049,2,8,751020805,34,,RUE,POISSONNIERE,1,Alimentation générale  <120m²,R,CA301,1,,,C
652237.256530762,6863562.77349854,4072,5059,2,8,751020805,31,,BD,BONNE NOUVELLE,1,Glacier : vente à emporter et consommation sur place,A,CA113,1,,,C
652272.265319824,6863400.66467285,4224,5232,2,8,751020805,70,,RUE,CLERY,1,Traiteur asiatique,A,CA102,1,,,C
652149.635925293,6863297.20751953,4537,5581,2,8,751020804,84,,RUE,ABOUKIR,1,Pâtisserie,R,CA104,1,,,C
652168.281677246,6863285.27947998,4547,5594,2,8,751020804,6,,RUE,NIL,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
652144.765075684,6863275.68768311,4549,5596,2,8,751020804,10,,RUE,NIL,1,Torréfacteur -  Commerce détail  thé et café,R,CA106,1,,,C
652179.174499512,6863281.57830811,4560,5609,2,8,751020804,3,,RUE,NIL,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
652157.339904785,6863272.68188477,4563,5612,2,8,751020804,7,,RUE,NIL,1,Alimentation générale  <120m²,R,CA301,1,,,C
652179.290893555,6863227.04351807,4568,5620,2,8,751020804,102,,RUE,REAUMUR,1,Supermarché classique,R,CA202,2,,,C
652115.922119141,6863123.28948975,4577,5632,2,8,751020803,2,,RUE,PETITS CARREAUX,1,Pâtisserie,R,CA104,1,,,C
652116.606323242,6863136.94628906,4579,5634,2,8,751020803,4,,RUE,PETITS CARREAUX,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
652118.395507812,6863141.49127197,4580,5635,2,8,751020803,6,,RUE,PETITS CARREAUX,1,Vente de fruits et légumes,R,CA108,1,,,C
652117.97869873,6863147.4666748,4581,5636,2,8,751020803,8,,RUE,PETITS CARREAUX,1,Crèmerie - Fromagerie,R,CA112,1,,,C
652121.612121582,6863175.14428711,4587,5642,2,8,751020803,14,,RUE,PETITS CARREAUX,1,Charcuterie - Traiteur - Epicerie fine,R,CA101,1,,,C
652124.518127441,6863197.98413086,4590,5645,2,8,751020803,16,,RUE,PETITS CARREAUX,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
652208.870483398,6863093.32067871,4604,5666,2,8,751020803,16,,RUE,SAINT SAUVEUR,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
652201.432678223,6863095.63812256,4606,5668,2,8,751020803,18,,RUE,SAINT SAUVEUR,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
652341.84588623,6863056.88153076,4643,5709,2,8,751020803,2,,RUE,SAINT SAUVEUR,1,Pâtisserie,R,CA104,1,,,C
652336.707885742,6862994.53808594,4665,5733,2,8,751020803,163,,RUE,SAINT DENIS,1,Traiteur asiatique,A,CA102,1,,,C
652341.328308105,6863011.96612549,4667,5736,2,8,751020803,169,,RUE,SAINT DENIS,1,Alimentation générale  <120m²,R,CA301,1,,,C
652347.051879883,6863030.22790527,4670,5739,2,8,751020803,177,,RUE,SAINT DENIS,1,Commerce détail de boissons,R,CA111,1,,,C
652348.655700684,6863035.43432617,4671,5740,2,8,751020803,179,,RUE,SAINT DENIS,1,Produits alimentaires bio et circuits courts,R,CA115,1,,,C
652350.568115234,6863041.67828369,4672,5741,2,8,751020803,181,,RUE,SAINT DENIS,1,Boulangerie - Boulangerie Pâtisserie,A,CA103,1,,,C
652105.549072266,6863054.79888916,4695,5765,2,8,751020802,82,,RUE,MONTORGUEIL,1,Chocolaterie - Confiserie,R,CA105,1,,,C
652107.12109375,6863065.73669434,4697,5767,2,8,751020802,86,,RUE,MONTORGUEIL,1,Crèmerie - Fromagerie,R,CA112,1,,,C
652108.034301758,6863072.08892822,4698,5768,2,8,751020802,88,,RUE,MONTORGUEIL,1,Commerce détail de boissons,R,CA111,1,,,C
652108.841491699,6863077.69207764,4699,5769,2,8,751020802,90,,RUE,MONTORGUEIL,1,Torréfacteur -  Commerce détail  thé et café,R,CA106,1,,,C
652110.143493652,6863086.73907471,4701,5771,2,8,751020802,94,,RUE,MONTORGUEIL,1,Commerce détail de boissons,R,CA111,1,,,C
652111.02947998,6863092.92352295,4702,5772,2,8,751020802,96,,RUE,MONTORGUEIL,1,Glacier : vente à emporter et consommation sur place,R,CA113,1,,,C
652112.03112793,6863099.90911865,4703,5773,2,8,751020802,98,,RUE,MONTORGUEIL,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
652110.917724609,6863091.98687744,4704,5774,2,8,751020802,98,,RUE,MONTORGUEIL,1,Traiteur asiatique,R,CA102,1,,,C
652113.173522949,6863107.79949951,4706,5776,2,8,751020802,100,,RUE,MONTORGUEIL,1,Boulangerie - Boulangerie Pâtisserie,R,CA103,1,,,C
652157.019470215,6862978.69671631,4735,5806,2,8,751020802,10,,RUE,MARIE STUART,1,Commerce détail de boissons,R,CA111,1,,,C
652102.371520996,6863021.75592041,4739,5810,2,8,751020802,72,,RUE,MONTORGUEIL,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
652101.676879883,6863017.81671143,4740,5811,2,8,751020802,72,,RUE,MONTORGUEIL,1,Poissonnerie,R,CA110,1,,,C
652102.268676758,6863032.13769531,4742,5813,2,8,751020802,76,,RUE,MONTORGUEIL,1,Vente de fruits et légumes,R,CA108,1,,,C
652320.81628418,6862917.21392822,4754,5825,2,8,751020803,141,,RUE,SAINT DENIS,1,Alimentation générale  <120m²,R,CA301,1,,,C
652322.93951416,6862933.55151367,4771,5845,2,8,751020803,145,,RUE,SAINT DENIS,1,Torréfacteur -  Commerce détail  thé et café,CC,CA106,1,10,0,C
652088.492675781,6862957.63311768,4805,5881,2,8,751020802,54,,RUE,MONTORGUEIL,1,Boucherie - Boucherie-Charcuterie,R,CA109,1,,,C
652228.588317871,6862861.97570801,4839,5917,2,8,751020802,14,,RUE,ETIENNE MARCEL,1,Vente de produits surgelés,R,CA107,1,,,C
652252.524291992,6862913.87487793,4854,5932,2,8,751020802,11,,RUE,TIQUETONNE,1,Commerce détail de boissons,R,CA111,1,,,C
652333.601501465,6862900.96868896,4905,5987,2,8,751020801,116,,RUE,SAINT DENIS,1,Traiteur asiatique,R,CA102,1,,,C
652336.796691895,6862926.09490967,4908,5990,2,8,751020801,120,,RUE,SAINT DENIS,1,Produits alimentaires spécialisés régionaux et étrangers,CC,CA114,1,16,0,C
652345.056884766,6862968.96508789,4924,6009,2,8,751020801,134,,RUE,SAINT DENIS,1,Alimentation générale  <120m²,R,CA301,1,,,C
652428.159118652,6862956.17712402,4929,6014,2,8,751020801,85,,BD,SEBASTOPOL,1,Produits alimentaires spécialisés régionaux et étrangers,R,CA114,1,,,C
652475.383117676,6863103.71868896,4937,6023,2,8,751020801,51,,RUE,REAUMUR,1,Monoprix,A,CA201,3,,,C
652351.936279297,6862995.66247559,4949,6037,2,8,751020801,142,,RUE,SAINT DENIS,1,Traiteur asiatique,R,CA102,1,,,C
652376.319885254,6863068.08227539,4959,6049,2,8,751020801,162,,RUE,SAINT DENIS,1,Traiteur asiatique,R,CA102,1,,,C
652407.203308105,6863126.98730469,4976,6067,2,8,751020801,59,,RUE,REAUMUR,1,Boulangerie - Boulangerie Pâtisserie,A,CA103,1,,,C
652586.312927246,6863445.13427734,5139,6263,2,8,751020801,13,,BD,SAINT DENIS,1,Monoprix,R,CA201,3,,,C
652695.073730469,6863407.15527344,5152,6278,3,9,751030905,1,,BD,SAINT DENIS,1,Produits alimentaires bio et circuits courts,R,CA115,1,,,C
652638.965881348,6863372.19970703,5169,6297,3,9,751030905,10,,RUE,BLONDEL,1,Alimentation générale  <120m²,R,CA301,1,,,C
652684.570129395,6863322.87329102,5196,6327,3,9,751030905,343,,RUE,SAINT MARTIN,1,Supérette  classique,R,CA302,1,,,C
652692.930908203,6863346.62567139,5200,6331,3,9,751030905,351,,RUE,SAINT MARTIN,1,Boulangerie - Boulangerie Pâtisserie,A,CA103,1,,,C
652558.996887207,6863069.84692383,5250,6386,3,9,751030905,245,,RUE,SAINT MARTIN,1,Charcuterie - Traiteur - Epicerie fine,R,CA101,1,,,C
652666.837890625,6863039.03289795,5291,6435,3,9,751030905,35,,RUE,REAUMUR,1,Vente de produits surgelés,R,CA107,1,,,C
652753.624328613,6863037.21112061,5299,6443,3,9,751030903,53,,RUE,TURBIGO,1,Supérette  classique,A,CA302,2,,,C
652850.828308105,6863059.72991943,5310,6455,3,9,751030903,61,,RUE,TURBIGO,1,Commerce détail de boissons,R,CA111,1,,,C
652865.731872559,6863064.77728271,5312,6457,3,9,751030903,63,,RUE,TURBIGO,1,Boulangerie - Boulangerie Pâtisserie,A,CA103,1,,,C
652897.604309082,6863108.73071289,5331,6478,3,9,751030903,36,,RUE,VOLTA,1,Supérette  classique,A,CA302,1,,,C
652912.272521973,6863145.87109375,5335,6482,3,9,751030903,46,,RUE,VOLTA,1,Commerce détail de boissons,R,CA111,1,,,C
