Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
191;Métro;CORENTIN CARIOU;2766678;7;;;;;Paris;19
196;Métro;ETIENNE MARCEL;2676549;4;;;;;Paris;1
206;Métro;LIBERTE;2532442;8;;;;;Charenton;
207;Métro;CAMBRONNE;2524418;6;;;;;Paris;15
208;Métro;CORVISART;2512122;6;;;;;Paris;13
214;Métro;RICHARD LENOIR;2422197;5;;;;;Paris;11
215;Métro;MALESHERBES;2406916;3;;;;;Paris;17
223;Métro;RANELAGH;2314539;9;;;;;Paris;16
225;Métro;LES AGNETTES;2309419;13;;;;;Asnières sur Seine;
236;Métro;EDGAR QUINET;2142333;6;;;;;Paris;14
240;Métro;EXELMANS;2102492;9;;;;;Paris;16
242;Métro;NOTRE-DAME-DES-CHAMPS;2051828;12;;;;;Paris;6
246;Métro;QUATRE-SEPTEMBRE;1997741;3;;;;;Paris;2
254;Métro;RASPAIL;1887146;4;6;;;;Paris;14
256;Métro;AVRON;1871024;2;;;;;Paris;11
263;Métro;CHATEAU-LANDON;1759434;7;;;;;Paris;10
265;Métro;CITE;1740572;4;;;;;Paris;4
269;Métro;MONCEAU;1672269;2;;;;;Paris;17
279;Métro;CHEMIN VERT;1527533;8;;;;;Paris;11
286;Métro;VARENNE;1241311;13;;;;;Paris;7
291;Métro;ASSEMBLEE NATIONALE;1063551;12;;;;;Paris;7
296;Métro;CHARDON-LAGACHE;692665;10;;;;;Paris;16
297;Métro;PORTE D'AUTEUIL;622094;10;;;;;Paris;16
300;Métro;BUTTES-CHAUMONT;545750;7bis;;;;;Paris;19
3;RER;LA DEFENSE-RER;34129971;A;;;;;Puteaux;
13;RER;AUBER;6578583;A;;;;;Paris;9
20;RER;DENFERT-ROCHEREAU-RER;4898356;B;;;;;Paris;14
21;RER;SAINT-GERMAIN-EN-LAYE;4826408;A;;;;;Saint-Germain-en-Laye;
23;RER;BOURG-LA-REINE;4446499;B;;;;;Bourg la Reine;
24;RER;NANTERRE-VILLE;4228110;A;;;;;Nanterre;
27;RER;NATION-RER;4138889;A;;;;;Paris;12
30;RER;ARCUEIL-CACHAN;3634116;B;;;;;Arcueil;
31;RER;SAINT-MAUR-CRETEIL;3632233;A;;;;;Saint-Maur des Fossés;
37;RER;BOISSY-SAINT-LEGER;2837635;A;;;;;Boissy-Saint-Léger;
38;RER;NOGENT-SUR-MARNE;2835775;A;;;;;Nogent-sur-Marne;
39;RER;FONTENAY-SOUS-BOIS;2740285;A;;;;;Fontenay-sous-Bois;
52;RER;LE VESINET-CENTRE;1380169;A;;;;;Le Vésinet;
54;RER;PALAISEAU;1046766;B;;;;;Palaiseau;
55;RER;PALAISEAU-VILLEBON;910971;B;;;;;Palaiseau;
58;RER;LOZERE;778724;B;;;;;Palaiseau;
61;RER;GIF-SUR-YVETTE;669555;B;;;;;Gif sur Yvette;
4;Métro;MONTPARNASSE-BIENVENUE;29857740;4;6;12;13;;Paris;14
7;Métro;REPUBLIQUE;16596521;3;5;8;9;11;Paris;11
10;Métro;BASTILLE;13151192;1;5;8;;;Paris;12
26;Métro;PORTE MAILLOT;8226552;1;;;;;Paris;16
31;Métro;OLYMPIADES;7912359;14;;;;;Paris;13
33;Métro;PORTE DE VINCENNES;7633984;1;;;;;Paris;12
46;Métro;GEORGE V;6643262;1;;;;;Paris;8
52;Métro;REUILLY-DIDEROT;6328040;1;8;;;;Paris;12
54;Métro;BERCY;6311543;6;14;;;;Paris;12
65;Métro;PORTE DE VERSAILLES;5823995;12;;;;;Paris;15
69;Métro;PORTE DE PANTIN;5615256;5;;;;;Paris;19
70;Métro;ODEON;5600764;4;10;;;;Paris;6
76;Métro;CONVENTION;5275717;12;;;;;Paris;15
77;Métro;PORTE DE SAINT-CLOUD;5174694;9;;;;;Paris;16
79;Métro;PONT DE SEVRES;5048247;9;;;;;Boulogne Billancourt;
84;Métro;VOLTAIRE;4975145;9;;;;;Paris;11
101;Métro;MAIRIE DES LILAS;4436148;11;;;;;Les Lilas;
104;Métro;PORTE DE MONTREUIL;4344016;9;;;;;Paris;20
105;Métro;JUSSIEU;4328012;7;10;;;;Paris;5
108;Métro;BASILIQUE DE SAINT-DENIS;4311590;13;;;;;Saint Denis;
109;Métro;ROBESPIERRE;4221091;9;;;;;Montreuil;
111;Métro;MAIRIE D'ISSY;4096487;12;;;;;Issy Les Moulineaux;
112;Métro;LE KREMLIN-BICETRE;4062243;7;;;;;Kremlin-Bicêtre;
113;Métro;JULES JOFFRIN;4034229;12;;;;;Paris;18
114;Métro;SAINT-DENIS-PORTE DE PARIS;4032072;13;;;;;Saint Denis;
116;Métro;ARTS ET METIERS;4011632;3;11;;;;Paris;3
117;Métro;CHAMPS-ELYSEES-CLEMENCEAU;4006171;1;13;;;;Paris;8
129;Métro;BOULOGNE-JEAN JAURES;3785458;10;;;;;Boulogne Billancourt;
131;Métro;OURCQ;3763663;5;;;;;Paris;19
145;Métro;CHEVALERET;3426306;6;;;;;Paris;13
147;Métro;FUNICULAIRE;3400474;2;;;;;Paris;18
150;Métro;LES GOBELINS;3377372;7;;;;;Paris;13
157;Métro;ECOLE VETERINAIRE DE MAISONS-ALFORT;3193857;8;;;;;Maisons -Alfort;
158;Métro;TOLBIAC;3191066;7;;;;;Paris;13
160;Métro;SAINT-PHILIPPE-DU-ROULE;3187997;9;;;;;Paris;8
162;Métro;BOUCICAUT;3152108;8;;;;;Paris;15
163;Métro;BOULOGNE-PONT DE SAINT-CLOUD;3145907;10;;;;;Boulogne Billancourt;
165;Métro;BILLANCOURT;3099341;9;;;;;Boulogne Billancourt;
172;Métro;JOURDAIN;3029314;11;;;;;Paris;20
185;Métro;COMMERCE;2864592;8;;;;;Paris;15
187;Métro;NOTRE-DAME-DE-LORETTE;2833104;12;;;;;Paris;9
190;Métro;FRONT POPULAIRE;2802852;12;;;;;Saint Denis / Aubervilliers;
192;Métro;PORTE DOREE;2763236;8;;;;;Paris;12
201;Métro;PORTE DE CHOISY;2598026;7;;;;;Paris;13
211;Métro;CARREFOUR PLEYEL;2473446;13;;;;;Saint Denis;
212;Métro;LE PELETIER;2451509;7;;;;;Paris;9
213;Métro;VILLEJUIF-PAUL VAILLANT-COUTURIER;2449391;7;;;;;Villejuif;
229;Métro;LOUIS BLANC;2272326;7;7bis;;;;Paris;10
230;Métro;CRETEIL-L'ECHAT;2253948;8;;;;;Créteil;
231;Métro;BEL AIR;2247926;6;;;;;Paris;12
244;Métro;MICHEL-ANGE-AUTEUIL;2042174;9;10;;;;Paris;16
247;Métro;SEVRES-LECOURBE;1957206;6;;;;;Paris;15
255;Métro;TRINITE-D'ESTIENNE D'ORVES;1876512;12;;;;;Paris;9
257;Métro;MABILLON;1859872;10;;;;;Paris;6
266;Métro;PONT MARIE;1733641;7;;;;;Paris;4
275;Métro;MONTGALLET;1596702;8;;;;;Paris;12
280;Métro;SULLY-MORLAND;1502672;7;;;;;Paris;4
282;Métro;MIRABEAU;1377611;10;;;;;Paris;16
284;Métro;PICPUS;1302314;6;;;;;Paris;12
285;Métro;KLEBER;1253324;6;;;;;Paris;16
288;Métro;RENNES;1181641;12;;;;;Paris;6
289;Métro;QUAI DE LA RAPEE;1155002;5;;;;;Paris;12
292;Métro;VANEAU;1028480;10;;;;;Paris;7
293;Métro;BOTZARIS;993450;7bis;;;;;Paris;19
294;Métro;FALGUIERE;881763;12;;;;;Paris;15
