,Numero,TypeVoie,NbPieces,No_plan,prixm2,lon,lat,score_commerce,score_commerce_lux
28174,33.0,RUE,3.0,46,9.571428,2.389674,48.87877,0.05660377358490566,0.0
28175,106.0,AV,3.0,27,9.214285,2.374477,48.878791,0.1320754716981132,0.06666666666666667
28176,85.0,BD,3.0,19,6.863636,2.41016,48.854564,0.07547169811320754,0.0
28177,14.0,QUAI,3.0,31,6.566666,2.371804,48.883784,0.05660377358490566,0.0
28178,14.0,QUAI,3.0,31,10.714285,2.371804,48.883784,0.05660377358490566,0.0
28179,14.0,QUAI,3.0,31,9.130434,2.371804,48.883784,0.05660377358490566,0.0
28180,346.0,RUE,2.0,23,10.07,2.388376,48.873889,0.0660377358490566,0.03333333333333333
28181,57.0,RUE,2.0,116,10.374193,2.396122,48.869678,0.09433962264150944,0.0
28182,6.0,RUE,1.0,4,5.266666,2.385754,48.865272,0.018867924528301886,0.0
28183,6.0,RUE,1.0,4,10.533333,2.385754,48.865272,0.018867924528301886,0.0
28184,6.0,RUE,1.0,4,9.333333,2.385754,48.865272,0.018867924528301886,0.0
28185,18.0,RUE,2.0,23,17.15,2.389659,48.87673,0.46226415094339623,0.5666666666666667
28186,18.0,RUE,2.0,23,17.15,2.389659,48.87673,0.46226415094339623,0.5666666666666667
28187,20.0,RUE,1.0,4,9.448148,2.402751,48.856814,0.07547169811320754,0.06666666666666667
28188,20.0,RUE,4.0,4,7.737441,2.402751,48.856814,0.07547169811320754,0.06666666666666667
28189,9.0,RUE,4.0,84,8.415841,2.386957,48.871639,1.0,0.8
28190,258.0,RUE,3.0,112,8.469387,2.395397,48.869059,0.09433962264150944,0.0
28191,27.0,RUE,2.0,80,9.383333,2.407115,48.857439,0.05660377358490566,0.0
28192,27.0,RUE,2.0,80,8.410937,2.407115,48.857439,0.05660377358490566,0.0
28193,81.0,RUE,2.0,27,9.08,2.406989,48.872526,0.02830188679245283,0.0
28194,13.0,ALL,5.0,60,8.544117,2.373304,48.879195,0.1320754716981132,0.06666666666666667
28195,32.0,RUE,3.0,26,9.2,2.40253,48.848822,0.10377358490566038,0.2
28196,165.0,AV,2.0,38,10.956521,2.387358,48.88744,0.27358490566037735,0.1
28197,26.0,RUE,2.0,42,9.215686,2.406905,48.868352,0.12264150943396226,0.06666666666666667
28198,2.0,SQ,1.0,29,8.809523,2.382848,48.87535,0.14150943396226415,0.16666666666666666
28199,10.0,RUE,2.0,5,11.48,2.406808,48.864194,0.18867924528301888,0.06666666666666667
28200,158.0,RUE,1.0,42,9.4,2.398647,48.87056,0.16037735849056603,0.13333333333333333
28201,158.0,RUE,1.0,42,9.193548,2.398647,48.87056,0.16037735849056603,0.13333333333333333
28202,4.0,RUE,3.0,2,8.206451,2.403563,48.874521,0.08490566037735849,0.0
